"<1741028053462>",-0.02328028,0.9859279,0.15650478,0.053948596,-4.385679,0.65660864,-0.012873842
"<1741028053492>",-0.02292773,0.98582584,0.15680882,0.055069834,-4.3854303,0.6572138,-0.01532723
"<1741028053508>",-0.022163598,0.985841,0.15607113,0.05716696,-4.384974,0.6574496,-0.016803144
"<1741028053542>",-0.019461539,0.9860464,0.15351076,0.06138471,-4.3838463,0.65790427,-0.020108014
"<1741028053575>",-0.016288854,0.98634106,0.15132733,0.062975585,-4.3828664,0.65847635,-0.023508295
"<1741028053608>",-0.014656863,0.98649853,0.15079436,0.062182695,-4.383159,0.65961695,-0.0269043
"<1741028053642>",-0.014882072,0.9865359,0.15128501,0.060316734,-4.383309,0.66060364,-0.02976264
"<1741028053675>",-0.016410308,0.9865069,0.15205581,0.058427986,-4.384006,0.6622845,-0.03268914
"<1741028053708>",-0.018454218,0.9864898,0.15250139,0.05692647,-4.384767,0.6638012,-0.035639092
"<1741028053742>",-0.019900182,0.98653823,0.1522755,0.056198996,-4.385462,0.6652643,-0.03876748
"<1741028053775>",-0.020017724,0.9866115,0.15176238,0.05625926,-4.3862176,0.66689646,-0.040956497
"<1741028053809>",-0.01922915,0.9867891,0.15044522,0.056952316,-4.38683,0.6687286,-0.043853715
"<1741028053842>",-0.018163826,0.98702925,0.14873664,0.057624627,-4.387417,0.6707703,-0.047202647
"<1741028053875>",-0.016933035,0.9873495,0.14684628,0.057361532,-4.387982,0.67299086,-0.04914692
"<1741028053908>",-0.016134618,0.98778045,0.14415742,0.05699063,-4.3885903,0.67535794,-0.05234918
"<1741028053942>",-0.015516833,0.98822033,0.14126919,0.056769073,-4.389188,0.67780167,-0.055602357
"<1741028053975>",-0.01476192,0.98859894,0.1384372,0.057351973,-4.3893995,0.67957187,-0.056706294
"<1741028054009>",-0.013952053,0.98893774,0.13565639,0.058349818,-4.3897634,0.6819189,-0.059430562
"<1741028054042>",-0.013036005,0.98929054,0.13302359,0.05864136,-4.390154,0.6843428,-0.062276736
"<1741028054075>",-0.01227836,0.98966837,0.13024172,0.058675412,-4.3903675,0.6861134,-0.062945746
"<1741028054109>",-0.011622888,0.99007976,0.12710719,0.05874181,-4.3909974,0.6886603,-0.0654496
"<1741028054142>",-0.010957412,0.9904863,0.12374509,0.05919305,-4.3917885,0.69145525,-0.06799299
"<1741028054175>",-0.00999373,0.9909061,0.120105915,0.059829716,-4.391835,0.6942669,-0.063394316
"<1741028054209>",-0.008439719,0.9913628,0.11602257,0.060557693,-4.392579,0.6976652,-0.06439865
"<1741028054242>",-0.006486778,0.9916822,0.11216234,0.06279972,-4.3933253,0.70172036,-0.06552322
"<1741028054275>",-0.0043436815,0.99190557,0.10826248,0.06620867,-4.394121,0.70660365,-0.06642008
"<1741028054309>",-0.0018729264,0.99222016,0.10340638,0.06930104,-4.394278,0.7106553,-0.059772097
"<1741028054342>",0.0008771909,0.9927187,0.09658657,0.07197082,-4.39541,0.716463,-0.059946805
"<1741028054375>",0.0030699635,0.99317724,0.0882539,0.07616265,-4.3970604,0.72238445,-0.06119533
"<1741028054409>",0.0040099914,0.99333763,0.08044764,0.08241544,-4.398573,0.7255675,-0.053385064
"<1741028054442>",0.0036361173,0.9931563,0.074098535,0.09020347,-4.4013004,0.7302085,-0.053396836
"<1741028054475>",0.0018585525,0.9926479,0.0689543,0.09945802,-4.404529,0.7317383,-0.043892637
"<1741028054508>",-0.0020823034,0.99184865,0.06444305,0.10990422,-4.4086175,0.7344281,-0.043954916
"<1741028054542>",-0.006876627,0.9907767,0.06115323,0.12072443,-4.4132504,0.7365279,-0.04507096
"<1741028054575>",-0.012635118,0.9892572,0.059270576,0.13303135,-4.418236,0.73809874,-0.0462626
"<1741028054609>",-0.019432437,0.98741233,0.05863897,0.14560443,-4.4231763,0.7377785,-0.036996372
"<1741028054642>",-0.026408885,0.98575217,0.058050223,0.15564503,-4.4284415,0.73878694,-0.0366918
"<1741028054675>",-0.032951027,0.9843239,0.0576767,0.16338274,-4.433582,0.73994803,-0.037383556
"<1741028054709>",-0.038100563,0.9828345,0.057587408,0.17107955,-4.437641,0.74104655,-0.021881223
"<1741028054742>",-0.041968007,0.98102397,0.05711696,0.18046649,-4.4414973,0.74196744,-0.020209491
"<1741028054775>",-0.04480908,0.97900325,0.055242706,0.19103122,-4.444775,0.7423867,-0.020589799
"<1741028054809>",-0.046753433,0.97702616,0.050180294,0.20178163,-4.4456487,0.7393216,-0.013822824
"<1741028054842>",-0.04991246,0.97446615,0.04258184,0.21473502,-4.447832,0.7383835,-0.014663578
"<1741028054875>",-0.054409552,0.9709294,0.03680765,0.23017567,-4.449919,0.7375189,-0.014903665
"<1741028054909>",-0.057662096,0.96750414,0.035690144,0.24359149,-4.452029,0.7388472,-0.015465931
"<1741028054942>",-0.058488,0.9651636,0.036496457,0.25240105,-4.454106,0.7416817,-0.016277365
"<1741028054975>",-0.057455014,0.9638229,0.038326155,0.25743988,-4.456171,0.74556196,-0.016620502
"<1741028055009>",-0.05135207,0.96360874,0.041330118,0.25906152,-4.455423,0.7482382,-0.015573934
"<1741028055042>",-0.04192103,0.96298623,0.044280857,0.2625629,-4.4561844,0.7527013,-0.014717653
"<1741028055075>",-0.033473436,0.96088314,0.046732727,0.27092257,-4.4569573,0.7568239,-0.013924509
"<1741028055108>",-0.027735544,0.95814633,0.047935333,0.28087097,-4.458745,0.7591246,-0.015209674
"<1741028055142>",-0.02392349,0.9562595,0.047295634,0.28767774,-4.4599166,0.7610997,-0.016209528
"<1741028055175>",-0.021275472,0.9552175,0.04617508,0.2915041,-4.461326,0.7624258,-0.017582074
"<1741028055209>",-0.02029912,0.9539453,0.04619413,0.2957064,-4.466619,0.76259667,-0.019004665
"<1741028055242>",-0.018218897,0.952733,0.046318606,0.29970378,-4.4688506,0.76345503,-0.020137712
"<1741028055275>",-0.015272117,0.95127624,0.046723757,0.30439618,-4.4729824,0.763958,-0.021493629
"<1741028055309>",-0.014310125,0.94876903,0.04657023,0.31219164,-4.4762115,0.7651224,-0.022446603
"<1741028055342>",-0.015259064,0.946385,0.045509655,0.31945467,-4.4789724,0.7667688,-0.023414088
"<1741028055375>",-0.017105311,0.9451136,0.044579223,0.323234,-4.482111,0.7685216,-0.024510123
"<1741028055409>",-0.020424249,0.9441087,0.04507435,0.32589844,-4.4866695,0.7686436,-0.025622472
"<1741028055442>",-0.024387937,0.94285107,0.04613504,0.3291028,-4.490479,0.76988405,-0.026344834
"<1741028055475>",-0.028742624,0.9412467,0.04762036,0.33310774,-4.4942822,0.7704418,-0.027075216
"<1741028055508>",-0.03330582,0.9392391,0.048919354,0.33812344,-4.498329,0.76817775,-0.028085321
"<1741028055542>",-0.0368671,0.93727607,0.04973483,0.34304628,-4.5017223,0.7673356,-0.029348833
"<1741028055575>",-0.039774846,0.93503237,0.050399885,0.34870064,-4.504764,0.76574886,-0.030692354
"<1741028055608>",-0.042336076,0.9323781,0.0516141,0.35526687,-4.5073466,0.7610086,-0.03184493
"<1741028055642>",-0.044994816,0.929446,0.05387611,0.36221945,-4.5102625,0.7588831,-0.033079013
"<1741028055675>",-0.048001535,0.926503,0.05609936,0.36897266,-4.513084,0.75602686,-0.033956856
"<1741028055710>",-0.05176058,0.9235225,0.058134668,0.37556267,-4.5152335,0.74829435,-0.03278652
"<1741028055742>",-0.05623246,0.9205561,0.06076231,0.38173574,-4.518418,0.7455741,-0.03347394
"<1741028055775>",-0.060535844,0.9178966,0.06437762,0.3868548,-4.5218034,0.74335116,-0.03401693
"<1741028055809>",-0.06459405,0.9154114,0.0687231,0.39131382,-4.525135,0.74100924,-0.03429328
"<1741028055842>",-0.067737475,0.9128262,0.073319025,0.39595988,-4.528163,0.73836064,-0.034236416
"<1741028055875>",-0.06928003,0.9104272,0.07800696,0.40029654,-4.527558,0.7328602,-0.033666775
"<1741028055909>",-0.06976422,0.90789527,0.082616776,0.40501052,-4.5293074,0.72929525,-0.033315837
"<1741028055942>",-0.07117421,0.90500134,0.086877406,0.41031572,-4.5311623,0.725741,-0.0330853
"<1741028055975>",-0.0735459,0.902346,0.0906535,0.41490307,-4.529422,0.7205442,-0.033138648
"<1741028056009>",-0.07637346,0.9001073,0.09472155,0.41833198,-4.5305295,0.7165201,-0.03338772
"<1741028056042>",-0.079647124,0.8977207,0.099080406,0.42182547,-4.5318685,0.71253645,-0.033609346
"<1741028056075>",-0.08375588,0.8949002,0.1041719,0.42577776,-4.5328526,0.7083839,-0.03367111
"<1741028056109>",-0.08736869,0.89190394,0.10883989,0.43014863,-4.5325236,0.70371485,-0.033726633
"<1741028056142>",-0.08923172,0.88895077,0.11446442,0.43439847,-4.533024,0.6994908,-0.03355801
"<1741028056175>",-0.09039097,0.8856258,0.12045081,0.43930385,-4.5325837,0.69420016,-0.03347726
"<1741028056209>",-0.090222396,0.8827057,0.12641111,0.44352072,-4.5323777,0.6898178,-0.033321187
"<1741028056242>",-0.08873418,0.8807875,0.13191192,0.4460256,-4.531892,0.6854819,-0.033284977
"<1741028056275>",-0.08760877,0.878221,0.13738254,0.44964266,-4.5306635,0.6812985,-0.033219367
"<1741028056309>",-0.08714614,0.87488765,0.14281845,0.45451066,-4.5298266,0.67731595,-0.033397406
"<1741028056342>",-0.087052755,0.8722299,0.1472404,0.45821062,-4.529202,0.67354524,-0.034028932
"<1741028056375>",-0.08739377,0.8704472,0.15016885,0.4605792,-4.527594,0.6700059,-0.036036804
"<1741028056409>",-0.08818099,0.86809266,0.15366472,0.46370924,-4.5271797,0.66699183,-0.03707224
"<1741028056442>",-0.08841748,0.86515385,0.15803868,0.4676696,-4.5270276,0.6644554,-0.037847325
"<1741028056475>",-0.087404445,0.86235535,0.16183919,0.4717114,-4.525091,0.66411495,-0.03952588
"<1741028056509>",-0.086686015,0.8595645,0.16516687,0.475767,-4.5245614,0.66224074,-0.04087071
"<1741028056542>",-0.08573364,0.8573099,0.16788772,0.47904393,-4.524064,0.6602855,-0.042538285
"<1741028056575>",-0.08466179,0.85451835,0.17019153,0.4833896,-4.523633,0.6580341,-0.04531221
"<1741028056609>",-0.08433726,0.8510893,0.17205733,0.4888051,-4.523215,0.6561894,-0.04770129
"<1741028056642>",-0.084292404,0.8483131,0.17362465,0.49306604,-4.5228386,0.65457284,-0.050470963
"<1741028056675>",-0.08516731,0.8454147,0.1748001,0.49745888,-4.521925,0.65259635,-0.054378152
"<1741028056709>",-0.08774895,0.8420133,0.17607664,0.50230527,-4.5219283,0.65145636,-0.057665512
"<1741028056742>",-0.09060628,0.8389378,0.17625734,0.5068601,-4.521913,0.65043044,-0.061172187
"<1741028056775>",-0.09245437,0.8362592,0.17586349,0.5110719,-4.5213623,0.64858425,-0.06541708
"<1741028056809>",-0.094393164,0.8331561,0.17646877,0.51555735,-4.5210037,0.64694023,-0.06886572
"<1741028056842>",-0.09606878,0.82957286,0.17815955,0.52042145,-4.52055,0.6450386,-0.072022006
"<1741028056875>",-0.09785756,0.82579637,0.18014021,0.525389,-4.5207033,0.6421081,-0.07564509
"<1741028056908>",-0.10026078,0.8221523,0.18211621,0.52994996,-4.5202165,0.6397737,-0.078894496
"<1741028056942>",-0.10416024,0.8186738,0.18387583,0.5339601,-4.519748,0.63745403,-0.08229757
"<1741028056975>",-0.10913159,0.8162074,0.18439837,0.5365563,-4.51884,0.63447464,-0.08630254
"<1741028057009>",-0.11526429,0.8138226,0.1851139,0.538646,-4.5181246,0.6318486,-0.09009311
"<1741028057042>",-0.120923795,0.8114076,0.18621206,0.54066634,-4.5173135,0.6294818,-0.09360859
"<1741028057075>",-0.123558216,0.8089037,0.18670453,0.54364455,-4.515786,0.6271713,-0.097059324
"<1741028057109>",-0.122788996,0.80549705,0.18703751,0.5487387,-4.5131917,0.6248299,-0.100523785
"<1741028057142>",-0.119630635,0.8012923,0.18828446,0.5551289,-4.511563,0.62337685,-0.10318357
"<1741028057175>",-0.11646711,0.7963785,0.18917267,0.56252134,-4.5097613,0.62125766,-0.106241375
"<1741028057208>",-0.114165,0.7917857,0.1891671,0.5694361,-4.509025,0.6206831,-0.1092194
"<1741028057242>",-0.11266305,0.7882754,0.18822755,0.57489055,-4.5088468,0.62077326,-0.11250661
"<1741028057275>",-0.11131385,0.7852634,0.18596058,0.5799907,-4.508824,0.6212231,-0.11618453
"<1741028057309>",-0.109719746,0.7816261,0.18356897,0.5859389,-4.508303,0.6214764,-0.12033266
"<1741028057342>",-0.108083986,0.77746767,0.18147412,0.59239256,-4.5093117,0.6224922,-0.12365216
