"<1740975993786>",-0.047624443,0.7427952,0.08472581,0.66242623,-0.49606,0.2740894,0.15440553
"<1740975993806>",-0.048675533,0.7430026,0.08439047,0.6621601,-0.4958645,0.2746706,0.15398389
"<1740975993855>",-0.047612656,0.7420516,0.083098084,0.66346586,-0.49413413,0.2748994,0.1535646
"<1740975993889>",-0.045082536,0.74112546,0.0824819,0.6647535,-0.4925971,0.27479866,0.15356803
"<1740975993922>",-0.04311111,0.7402786,0.082417585,0.665835,-0.49234307,0.27522573,0.15396383
"<1740975993955>",-0.042254996,0.7399074,0.08252187,0.6662894,-0.49146867,0.27544832,0.15392424
"<1740975993988>",-0.042567562,0.7400349,0.082332976,0.6661513,-0.49180368,0.2758335,0.15386951
"<1740975994022>",-0.043561365,0.7403207,0.0817357,0.66584295,-0.49256235,0.27626806,0.15373254
"<1740975994055>",-0.04456659,0.74040794,0.0809123,0.66578,-0.49184936,0.2765337,0.15320829
"<1740975994089>",-0.044872437,0.74035,0.08051125,0.66587245,-0.49436194,0.27653742,0.15349026
"<1740975994122>",-0.044521365,0.73982465,0.0807907,0.66644585,-0.49501896,0.27655753,0.15361527
"<1740975994155>",-0.043597132,0.73946625,0.080963045,0.66688365,-0.49423504,0.27655533,0.1534782
"<1740975994189>",-0.042610902,0.7390654,0.08105127,0.6673808,-0.49322397,0.2764963,0.1532558
"<1740975994222>",-0.041940715,0.738214,0.08104441,0.6683657,-0.4952777,0.27638158,0.15359735
"<1740975994255>",-0.04207253,0.7372293,0.081057176,0.66944194,-0.49485934,0.27628413,0.15334454
"<1740975994289>",-0.04215304,0.7369552,0.08144203,0.6696918,-0.4941674,0.27618572,0.1529826
"<1740975994322>",-0.04194607,0.7365253,0.08180907,0.67013294,-0.4947809,0.27649724,0.15282251
"<1740975994355>",-0.041949477,0.73534137,0.08196301,0.6714129,-0.4941578,0.27641523,0.15242517
"<1740975994389>",-0.04171972,0.7342525,0.08189174,0.67262644,-0.493244,0.2762839,0.15187104
"<1740975994422>",-0.04167923,0.7330791,0.08162768,0.67393965,-0.49344444,0.27695617,0.15103972
"<1740975994455>",-0.04179401,0.73192346,0.08129532,0.67522746,-0.49257088,0.2770612,0.1501597
"<1740975994489>",-0.042004496,0.73044425,0.08097909,0.6768523,-0.491556,0.27710354,0.14916554
"<1740975994522>",-0.04210039,0.72875744,0.081116945,0.6786457,-0.49181485,0.27792466,0.1478054
"<1740975994555>",-0.042133633,0.7269778,0.08118046,0.6805421,-0.4908988,0.27805808,0.14646429
"<1740975994589>",-0.042186085,0.72477466,0.08116808,0.6828862,-0.4913963,0.27892244,0.144187
"<1740975994622>",-0.04255155,0.7221477,0.080951,0.6856667,-0.49094933,0.27934387,0.14205104
"<1740975994655>",-0.0431214,0.7197718,0.080430195,0.68818605,-0.48977458,0.27945918,0.13986154
"<1740975994689>",-0.04404132,0.7170632,0.0802139,0.69097483,-0.48850402,0.27956995,0.13746718
"<1740975994722>",-0.044322796,0.7141585,0.07997914,0.69398576,-0.4906052,0.27962413,0.13525675
"<1740975994755>",-0.04444002,0.71057117,0.080018185,0.6976465,-0.48966444,0.2796024,0.13262226
"<1740975994789>",-0.044480894,0.7066971,0.08009129,0.70155954,-0.4883111,0.2795299,0.12978965
"<1740975994822>",-0.044489436,0.7028227,0.08039302,0.70540607,-0.49156982,0.28011727,0.12727584
"<1740975994855>",-0.044832192,0.6983255,0.07999671,0.70988166,-0.490708,0.2799905,0.12412368
"<1740975994889>",-0.045881454,0.6938444,0.079712726,0.7142272,-0.49323016,0.28033504,0.12085823
"<1740975994922>",-0.046697836,0.68973505,0.07972765,0.71814215,-0.4936831,0.28037673,0.11755241
